Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,DayOfWeek,Month,DayNum,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Date
1503960366,2016-04-12,13162,8.5,8.5,0.0,1.879999995,0.550000012,6.059999943,0.0,25,13,328,728,1985,Tuesday,April,12,1.0,327.0,346.0,4/12/2016
1503960366,2016-04-13,10735,6.96999979,6.96999979,0.0,1.570000052,0.689999998,4.710000038,0.0,21,19,217,776,1797,Wednesday,April,13,2.0,384.0,407.0,4/13/2016
1503960366,2016-04-14,10460,6.739999771,6.739999771,0.0,2.440000057,0.400000006,3.910000086,0.0,30,11,181,1218,1776,Thursday,April,14,,,,
1503960366,2016-04-15,9762,6.28000021,6.28000021,0.0,2.140000105,1.25999999,2.829999924,0.0,29,34,209,726,1745,Friday,April,15,1.0,412.0,442.0,4/15/2016
1503960366,2016-04-16,12669,8.159999847,8.159999847,0.0,2.710000038,0.409999996,5.039999962,0.0,36,10,221,773,1863,Saturday,April,16,2.0,340.0,367.0,4/16/2016
1503960366,2016-04-17,9705,6.480000019,6.480000019,0.0,3.190000057,0.779999971,2.50999999,0.0,38,20,164,539,1728,Sunday,April,17,1.0,700.0,712.0,4/17/2016
1503960366,2016-04-18,13019,8.590000153,8.590000153,0.0,3.25,0.639999986,4.710000038,0.0,42,16,233,1149,1921,Monday,April,18,,,,
1503960366,2016-04-19,15506,9.880000114,9.880000114,0.0,3.529999971,1.320000052,5.03000021,0.0,50,31,264,775,2035,Tuesday,April,19,1.0,304.0,320.0,4/19/2016
1503960366,2016-04-20,10544,6.679999828,6.679999828,0.0,1.960000038,0.479999989,4.239999771,0.0,28,12,205,818,1786,Wednesday,April,20,1.0,360.0,377.0,4/20/2016
1503960366,2016-04-21,9819,6.340000153,6.340000153,0.0,1.340000033,0.349999994,4.650000095,0.0,19,8,211,838,1775,Thursday,April,21,1.0,325.0,364.0,4/21/2016
1503960366,2016-04-22,12764,8.130000114,8.130000114,0.0,4.760000229,1.120000005,2.24000001,0.0,66,27,130,1217,1827,Friday,April,22,,,,
1503960366,2016-04-23,14371,9.039999962,9.039999962,0.0,2.809999943,0.870000005,5.360000134,0.0,41,21,262,732,1949,Saturday,April,23,1.0,361.0,384.0,4/23/2016
1503960366,2016-04-24,10039,6.409999847,6.409999847,0.0,2.920000076,0.209999993,3.279999971,0.0,39,5,238,709,1788,Sunday,April,24,1.0,430.0,449.0,4/24/2016
1503960366,2016-04-25,15355,9.800000191,9.800000191,0.0,5.289999962,0.569999993,3.940000057,0.0,73,14,216,814,2013,Monday,April,25,1.0,277.0,323.0,4/25/2016
